Starters,Pos
Tyler Johnson,PG
Quinn Cook,PG
Tremont Waters,PG
Carsen Edwards,PG
Sam Merrill,PG
Tre Jones,PG
Tyrell Terry,PG
Payton Pritchard,PG
Brandon Goodwin,PG
Kyrie Irving,PG
Damian Lillard,PG
Ja Morant,PG
Jamal Murray,PG
Mike Conley,PG
Dejounte Murray,PG
Coby White,PG
Derrick White,PG
Tyus Jones,PG
Ricky Rubio,PG
Monte Morris,PG
Lou Williams,PG
Tomas Satoransky,PG
Patty Mills,PG
Facundo Campazzo,PG
Patrick Beverley,PG
De'Anthony Melton,PG
Alex Caruso,PG
Chris Chiozza,PG
Shaquille Harrison,PG
Keljin Blevins,PG
Jordan McLaughlin,PG
R.J. Hampton,PG
Tyler Johnson,PG
Tre Jones,PG
Ryan Arcidiacono,PG
Markus Howard,PG
Quinn Cook,PG
Anfernee Simons,PG
Jaylen Nowell,PG
Russell Westbrook,PG
Kyrie Irving,PG
Stephen Curry,PG
John Wall,PG
Ja Morant,PG
De'Aaron Fox,PG
Kyle Lowry,PG
Chris Paul,PG
Jrue Holiday,PG
Terry Rozier,PG
Mike Conley,PG
LaMelo Ball,PG
Coby White,PG
Lonzo Ball,PG
Marcus Smart,PG
Kemba Walker,PG
George Hill,PG
Elfrid Payton,PG
Tyus Jones,PG
Cole Anthony,PG
Delon Wright,PG
Austin Rivers,PG
Payton Pritchard,PG
Jeff Teague,PG
Jordan Poole,PG
Raul Neto,PG
Brad Wanamaker,PG
Lou Williams,PG
Tomas Satoransky,PG
Patrick Beverley,PG
Cory Joseph,PG
De'Anthony Melton,PG
Ish Smith,PG
Cameron Payne,PG
Killian Hayes,PG
Theo Maledon,PG
D.J. Augustin,PG
Michael Carter-Williams,PG
Frank Jackson,PG
Immanuel Quickley,PG
Chris Chiozza,PG
Frank Ntilikina,PG
Alex Caruso,PG
Jared Harper,PG
Tyler Johnson,PG
Ryan Arcidiacono,PG
Jerome Robinson,PG
Tim Frazier,PG
Jevon Carter,PG
Quinn Cook,PG
Jordan Bone,PG
Tremont Waters,PG
Carsen Edwards,PG
Karim Mane,PG
Shaquille Harrison,PG
Chris Clemons,PG
Jaylen Adams,PG
Saben Lee,PG
Markelle Fultz,PG
Kira Lewis,PG
Sam Merrill,PG
Dennis Smith,PG
Jahmi'us Ramsey,PG
Jalen Harris,PG
Malachi Flynn,PG
Nico Mannion,PG
Cassius Winston,PG
Nickname,Position
Nickname,Position
Nickname,Position
LeBron James,SF
Kawhi Leonard,SF
Kevin Durant,SF
Jaylen Brown,SF
Gordon Hayward,SF
Kyle Anderson,SF
Keldon Johnson,SF
Rudy Gay,SF
Bogdan Bogdanovic,SF
Tim Hardaway,SF
Danilo Gallinari,SF
Justise Winslow,SF
Miles Bridges,SF
Tyler Herro,SF
Donte DiVincenzo,SF
Cam Reddish,SF
De'Andre Hunter,SF
Carmelo Anthony,SF
Joe Harris,SF
Dorian Finney-Smith,SF
Taurean Prince,SF
Maurice Harkless,SF
Derrick Jones,SF
Solomon Hill,SF
Wesley Matthews,SF
Semi Ojeleye,SF
Alfonzo McKinnie,SF
Rodney Hood,SF
Max Strus,SF
Caleb Martin,SF
Keita Bates-Diop,SF
KZ Okpala,SF
Nassir Little,SF
Thanasis Antetokounmpo,SF
Mfiondu Kabengele,SF
Jontay Porter,SF
CJ Elleby,SF
Precious Achiuwa,SF
Tyler Bey,SF
Jared Dudley,SF
Sean McDermott,SF
LeBron James,SF
Kawhi Leonard,SF
Kevin Durant,SF
Michael Porter,SF
Keldon Johnson,SF
Kyle Anderson,SF
Will Barton,SF
Otto Porter,SF
Rudy Gay,SF
Joe Ingles,SF
Justise Winslow,SF
Joe Harris,SF
Jarrett Culver,SF
Anthony Edwards,SF
Patrick Williams,SF
Carmelo Anthony,SF
Josh Okogie,SF
Jarred Vanderbilt,SF
Taurean Prince,SF
Chandler Hutchison,SF
Wesley Matthews,SF
Derrick Jones,SF
Denzel Valentine,SF
Alfonzo McKinnie,SF
Nassir Little,SF
Mfiondu Kabengele,SF
Rodney Hood,SF
Vlatko Cancar,SF
Jontay Porter,SF
Garrett Temple,SF
CJ Elleby,SF
Elijah Hughes,SF
Jaden McDaniels,SF
Jared Dudley,SF
Sean McDermott,SF
Keita Bates-Diop,SF
Greg Whittington,SF
Jake Layman,SF
Jarrell Brantley,SF
LeBron James,SF
Kevin Durant,SF
Kawhi Leonard,SF
Jayson Tatum,SF
Brandon Ingram,SF
Gordon Hayward,SF
Jerami Grant,SF
Khris Middleton,SF
RJ Barrett,SF
Harrison Barnes,SF
Kyle Anderson,SF
Eric Gordon,SF
OG Anunoby,SF
Otto Porter,SF
Mikal Bridges,SF
Evan Fournier,SF
Kelly Oubre,SF
Saddiq Bey,SF
Josh Jackson,SF
Miles Bridges,SF
Joe Harris,SF
Rui Hachimura,SF
Justise Winslow,SF
Joe Ingles,SF
Trevor Ariza,SF
Patrick Williams,SF
Deni Avdija,SF
Cameron Johnson,SF
Justin Jackson,SF
Timothe Luwawu-Cabarrot,SF
Danuel House,SF
Obi Toppin,SF
James Ennis,SF
